application_number,brand_name,generic_name,company,approval_year,submission_class
NDA019516,MS CONTIN,MORPHINE SULFATE,Rhodes Pharmaceuticals LLC,1987,Type 3 - New Dosage Form
NDA019625,N/A,N/A,N/A,1987,Type 3 - New Dosage Form
NDA019401,N/A,N/A,N/A,1987,Type 2 - New Active Ingredient and Type 3 - New Dosage Form
NDA019116,N/A,N/A,N/A,1987,Type 3 - New Dosage Form
NDA018965,NAPROXEN,NAPROXEN,"Acella Pharmaceuticals, LLC",1987,Type 3 - New Dosage Form
NDA019436,N/A,N/A,N/A,1987,Type 1 - New Molecular Entity
NDA019527,N/A,N/A,N/A,1987,Type 3 - New Dosage Form
NDA019243,N/A,N/A,N/A,1987,Type 3 - New Dosage Form
NDA019655,RETROVIR,ZIDOVUDINE,ViiV Healthcare Company,1987,Type 1 - New Molecular Entity
NDA050605,N/A,N/A,N/A,1987,Type 2 - New Active Ingredient
NDA019579,N/A,N/A,N/A,1987,Type 1 - New Molecular Entity
NDA019543,N/A,N/A,N/A,1987,Type 1 - New Molecular Entity
NDA019488,N/A,N/A,N/A,1988,Type 1 - New Molecular Entity
NDA050567,N/A,N/A,N/A,1988,Type 4 - New Combination
NDA019647,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA018766,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019641,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019824,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA050601,N/A,N/A,N/A,1988,Type 1 - New Molecular Entity
NDA050616,TOBRADEX,TOBRAMYCIN AND DEXAMETHASONE,Novartis Pharmaceuticals Corporation,1988,Type 3 - New Dosage Form
NDA019387,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019385,N/A,N/A,N/A,1988,Type 1 - New Molecular Entity
NDA019501,WOMENS ROGAINE UNSCENTED,MINOXIDIL,Kenvue Brands LLC,1988,Type 3 - New Dosage Form
NDA019667,SANDOSTATIN,OCTREOTIDE ACETATE,Novartis Pharmaceuticals Corporation,1988,Type 1 - New Molecular Entity
NDA019737,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019508,N/A,N/A,N/A,1988,Type 1 - New Molecular Entity
NDA019828,OXICONAZOLE NITRATE,OXICONAZOLE NITRATE,"E. Fougera & Co. a division of Fougera Pharmaceuticals, LLC",1988,Type 1 - New Molecular Entity
NDA019599,N/A,N/A,N/A,1988,Type 1 - New Molecular Entity
NDA019569,THIOLA,TIOPRONIN,Mission Pharmacal Company,1988,Type 1 - New Molecular Entity
NDA019729,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019489,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019049,TRETINOIN CREAM,TRETINOIN,Obagi Cosmeceuticals LLC,1988,Type 3 - New Dosage Form
NDA019561,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019596,N/A,N/A,N/A,1988,Type 1 - New Molecular Entity
NDA018988,N/A,N/A,N/A,1988,Type 4 - New Combination
NDA019710,OPTIRAY 320,IOVERSOL,Liebel-Flarsheim Company LLC,1988,Type 1 - New Molecular Entity
NDA019574,THALITONE,CHLORTHALIDONE,Casper Pharma LLC,1988,Type 3 - New Dosage Form
NDA019669,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019829,CERETEC,TECHNETIUM TC-99M EXAMETAZIME,Medi-Physics Inc. dba GE Healthcare.,1988,Type 1 - New Molecular Entity
NDA019309,N/A,N/A,N/A,1988,Type 2 - New Active Ingredient
NDA019357,ETHAMOLIN,ETHANOLAMINE OLEATE,"QOL Medical, LLC.",1988,Type 1 - New Molecular Entity
NDA050592,TOBRAMYCIN AND DEXAMETHASONE,TOBRAMYCIN AND DEXAMETHASONE,Sandoz Inc,1988,Type 4 - New Combination
NDA050586,N/A,N/A,N/A,1988,Type 4 - New Combination
NDA019675,N/A,N/A,N/A,1988,Type 3 - New Dosage Form
NDA019268,CYTOTEC,MISOPROSTOL,Pfizer Laboratories Div Pfizer Inc,1988,Type 1 - New Molecular Entity
NDA050643,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050627,RIFADIN IV,RIFAMPIN,Sanofi-Aventis U.S. LLC,1989,Type 3 - New Dosage Form
NDA019627,DIPRIVAN,PROPOFOL,"Fresenius Kabi USA, LLC",1989,Type 1 - New Molecular Entity
NDA019151,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA018737,EXELDERM,SULCONAZOLE NITRATE,Journey Medical Corporation,1989,Type 3 - New Dosage Form
NDA019880,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA050648,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019810,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019653,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA019937,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019970,NITROGLYCERIN IN DEXTROSE,NITROGLYCERIN,Baxter Healthcare Company,1989,Type 3 - New Dosage Form
NDA019907,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019693,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA050658,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019578,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019906,CLOMIPRAMINE HYDROCHLORIDE,CLOMIPRAMINE HYDROCHLORIDE,SpecGx LLC,1989,Type 1 - New Molecular Entity
NDA050637,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA050639,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050628,N/A,N/A,N/A,1989,Type 4 - New Combination
NDA019334,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019910,RETROVIR,ZIDOVUDINE,ViiV Healthcare Company,1989,Type 3 - New Dosage Form
NDA018554,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA050655,NAFCILLIN,NAFCILLIN,Baxter Healthcare Corporation,1989,Type 3 - New Dosage Form
NDA019507,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050633,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019771,ADVIL COLD AND SINUS,IBUPROFEN AND PSEUDOEPHEDRINE HYDROCHLORIDE,Haleon US Holdings LLC,1989,Type 4 - New Combination
NDA019814,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050641,DOXYCYCLINE MONOHYDRATE,DOXYCYCLINE MONOHYDRATE,"Chartwell RX, LLC.",1989,Type 3 - New Dosage Form
BLA103158,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA050635,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019909,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050634,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019525,N/A,N/A,N/A,1989,Type 4 - New Combination
NDA019833,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050632,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA018592,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019758,CLOZARIL,CLOZAPINE,"HLS Therapeutics (USA), Inc.",1989,Type 1 - New Molecular Entity
NDA019382,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050640,OXACILLIN,OXACILLIN,Baxter Healthcare Corporation,1989,Type 3 - New Dosage Form
NDA050636,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
BLA103234,PROCRIT,ERYTHROPOIETIN,"Janssen Products, LP",1989,Type 1 - New Molecular Entity
NDA019661,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019058,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019860,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019845,BETOPTIC S,BETAXOLOL HYDROCHLORIDE,Novartis Pharmaceuticals Corporation,1989,Type 3 - New Dosage Form
NDA019522,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019796,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019698,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019608,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019786,N/A,N/A,N/A,1989,Type 2 - New Active Ingredient and Type 3 - New Dosage Form
NDA019684,PROCARDIA XL,NIFEDIPINE,Pfizer Laboratories Div Pfizer Inc,1989,Type 3 - New Dosage Form
NDA019784,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050622,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050600,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,Mylan Pharmaceuticals Inc.,1989,Type 3 - New Dosage Form
NDA019456,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019687,N/A,N/A,N/A,1989,Type 2 - New Active Ingredient
NDA019471,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019292,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA019732,LUPRON DEPOT,LEUPROLIDE ACETATE,AbbVie Inc.,1989,Type 3 - New Dosage Form
NDA019726,ZOLADEX,GOSERELIN,TerSera Therapeutics LLC,1989,Type 1 - New Molecular Entity
NDA019414,CARDIOGEN-82,RUBIDIUM CHLORIDE RB-82,Bracco Diagnostics Inc,1989,Type 1 - New Molecular Entity
NDA019887,NEBUPENT,PENTAMIDINE ISETHIONATE,"Fresenius Kabi USA, LLC",1989,Type 3 - New Dosage Form
NDA019855,ELIMITE,PERMETHRIN,Aurobindo Pharma Limited,1989,Type 3 - New Dosage Form
NDA050612,N/A,N/A,N/A,1989,Type 3 - New Dosage Form
NDA050621,N/A,N/A,N/A,1989,Type 1 - New Molecular Entity
NDA019753,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019886,SYNAREL,NAFARELIN ACETATE,Pfizer Laboratories Div Pfizer Inc,1990,Type 1 - New Molecular Entity
NDA019614,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,Teva Pharmaceuticals Inc,1990,Type 3 - New Dosage Form
NDA019794,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA050630,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019897,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA050661,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
BLA019818,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019976,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019926,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019966,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019919,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019785,CARDIOLITE,TETRAKIS(2-METHOXYISOBUTYLISOCYANIDE)COPPER(I) TETRAFLUOROBORATE,"Lantheus Medical Imaging, Inc.",1990,Type 1 - New Molecular Entity
NDA050625,SANDIMMUNE,CYCLOSPORINE,Novartis Pharmaceuticals Corporation,1990,Type 3 - New Dosage Form
NDA050649,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019950,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA020035,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA050638,PENICILLIN G POTASSIUM,PENICILLIN G,Baxter Healthcare Corporation,1990,Type 3 - New Dosage Form
NDA019968,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA020011,LUPRON DEPOT,LEUPROLIDE ACETATE,AbbVie Inc.,1990,Type 3 - New Dosage Form
NDA019949,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019002,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019735,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA020088,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019951,RETROVIR,ZIDOVUDINE,ViiV Healthcare Company,1990,Type 3 - New Dosage Form
NDA050646,N/A,N/A,N/A,1990,Type 2 - New Active Ingredient
NDA019668,DOXAZOSIN,DOXAZOSIN,Mylan Pharmaceuticals Inc.,1990,Type 1 - New Molecular Entity
NDA019879,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA020056,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019429,N/A,N/A,N/A,1990,Type 4 - New Combination
NDA019857,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA020001,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019813,N/A,N/A,N/A,1990,Type 2 - New Active Ingredient and Type 3 - New Dosage Form
NDA019928,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019481,RENACIDIN,"CITRIC ACID, GLUCONOLACTONE AND MAGNESIUM CARBONATE","United-Guardian, Inc.",1990,Type 3 - New Dosage Form
NDA019882,TECHNESCAN MAG3,TECHNESCAN TC 99M MERTIATIDE,Curium US LLC,1990,Type 1 - New Molecular Entity
NDA019927,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019858,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019992,CIPROFLOXACIN HYDROCHLORIDE,CIPROFLOXACIN HYDROCHLORIDE,Sandoz Inc,1990,Type 3 - New Dosage Form
NDA019967,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019546,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019972,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019715,DIPENTUM,OLSALAZINE SODIUM,Viatris Specialty LLC,1990,Type 1 - New Molecular Entity
NDA019795,N/A,N/A,N/A,1990,Type 3 - New Dosage Form
NDA019863,N/A,N/A,N/A,1990,Type 1 - New Molecular Entity
NDA019979,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA050670,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020036,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
BLA020032,SURVANTA,BERACTANT,AbbVie Inc.,1991,Type 1 - New Molecular Entity
NDA019946,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
BLA103000,BOTOX COSMETIC,ONABOTULINUMTOXINA,"Allergan, Inc.",1991,Type 1 - New Molecular Entity
NDA019091,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020165,NICOTINE TRANSDERMAL SYSTEM,NICOTINE,Sam's West Inc,1991,Type 3 - New Dosage Form
NDA020037,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA019836,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020007,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019645,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA020068,FOSCAVIR,FOSCARNET SODIUM,Clinigen Limited,1991,Type 1 - New Molecular Entity
NDA019915,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020079,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA019677,N/A,N/A,N/A,1991,Type 4 - New Combination
BLA103353,NEUPOGEN,FILGRASTIM,"Amgen, Inc",1991,Type 1 - New Molecular Entity
NDA020064,NITROFURANTOIN MONOHYDRATE/ MACROCRYSTALLINE,NITROFURANTOIN MONOHYDRATE/MACROCRYSTALLINE,Alvogen Inc.,1991,Type 3 - New Dosage Form
NDA020101,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
BLA103362,LEUKINE,SARGRAMOSTIM,"Partner Therapeutics, Inc.",1991,Type 1 - New Molecular Entity
NDA019839,ZOLOFT,SERTRALINE HYDROCHLORIDE,ROERIG,1991,Type 1 - New Molecular Entity
NDA019981,ULTRATAG RBC,KIT FOR THE PREPARATION OF TECHNETIUM TC 99M RED BLOOD CELLS,Curium US LLC,1991,Type 3 - New Dosage Form
NDA019766,ZOCOR,SIMVASTATIN,Organon LLC,1991,Type 1 - New Molecular Entity
NDA019998,CHEMET,SUCCIMER,"Recordati Rare Diseases, Inc.",1991,Type 1 - New Molecular Entity
NDA020041,AMINOSYN II,"ISOLEUCINE, LEUCINE, LYSINE ACETATE, METHIONINE, PHENYLALANINE, THREONINE, TRYPTOPHAN, VALINE, ALANINE, ARGININE, ASPARTIC ACID, GLUTAMIC ACID, HISTIDINE, PROLINE, SERINE, N-ACETYLTYROSINE, AND GLYCINE",ICU Medical Inc.,1991,Type 3 - New Dosage Form
NDA019757,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA019961,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019898,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020154,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020155,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA020156,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA020073,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019568,N/A,N/A,N/A,1991,Type 2 - New Active Ingredient
NDA018922,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA050662,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019901,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020027,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA050668,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA019798,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA019890,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA019583,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA050667,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020038,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019856,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA019616,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019851,LOTENSIN,BENAZEPRIL HYDROCHLORIDE,Validus Pharmaceuticals LLC,1991,Type 1 - New Molecular Entity
NDA020089,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA020076,NICOTINE TRANSDERMAL SYSTEM,NICOTINE,Dr. Reddys Laboratories Inc.,1991,Type 3 - New Dosage Form
NDA050664,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA020122,NIPENT,PENTOSTATIN,"Hospira, Inc.",1991,Type 1 - New Molecular Entity
NDA019797,"PEG 3350, SODIUM CHLORIDE, SODIUM BICARBONATE AND POTASSIUM CHLORIDE","POLYETHYLENE GLYCOL 3350, SODIUM CHLORIDE, SODIUM BICARBONATE, POTASSIUM CHLORIDE","Wilshire Pharmaceuticals, Inc.",1991,Type 4 - New Combination
NDA020105,N/A,N/A,N/A,1991,Type 3 - New Dosage Form
NDA019834,N/A,N/A,N/A,1991,Type 1 - New Molecular Entity
NDA019865,BETAPACE,SOTALOL HYDROCHLORIDE,"Legacy Pharma USA, Inc.",1992,Type 1 - New Molecular Entity
NDA050674,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
BLA103293,PROLEUKIN,ALDESLEUKIN,"Iovance Biotherapeutics, Inc",1992,Type 1 - New Molecular Entity
NDA020208,METRONIDAZOLE,METRONIDAZOLE,Oceanside Pharmaceuticals,1992,Type 3 - New Dosage Form
NDA019941,N/A,N/A,N/A,1992,Type 3 - New Dosage Form
NDA020021,N/A,N/A,N/A,1992,Type 3 - New Dosage Form
NDA020131,PROHANCE,GADOTERIDOL,BRACCO DIAGNOSTICS INC,1992,Type 1 - New Molecular Entity
NDA020119,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA020250,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA020118,SUPRANE,DESFLURANE,Baxter Healthcare Corporation,1992,Type 1 - New Molecular Entity
NDA020033,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,BENAZEPRIL HYDROCHLORIDE AND HYDROCHLOROTHIAZIDE,Padagis US LLC,1992,Type 4 - New Combination
NDA020180,PROSCAR,FINASTERIDE,Organon LLC,1992,Type 1 - New Molecular Entity
NDA050680,CLINDAMYCIN PHOSPHATE,CLINDAMYCIN PHOSPHATE,Mylan Pharmaceuticals Inc.,1992,Type 3 - New Dosage Form
NDA019908,AMBIEN,ZOLPIDEM TARTRATE,"Cosette Pharmaceuticals, Inc.",1992,Type 1 - New Molecular Entity
NDA020071,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity and Type 4 - New Combination
NDA050675,N/A,N/A,N/A,1992,Type 3 - New Dosage Form
NDA019862,N/A,N/A,N/A,1992,Type 1 - New Molecular Entity
NDA050689,RIFABUTIN,RIFABUTIN,Mylan Pharmaceuticals Inc.,1992,Type 1 - New Molecular Entity
